Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
# of hospitalizations for DKA in past 12 months,Coded,"Insulin glargine | Insulin glulisine | Insulin, human, regular | Metformin hydrochloride | Glibenclamide",checkbox,No,no,PIH:6694,CIEL:78064|CIEL:78065|CIEL:78082|CIEL:79652|CIEL:77071,# of hospitalizations for DKA in past 12 months,PIH:HOSPITALIZATION CONSTRUCT
Hospitalization discharge diagnosis,Coded,Hypertensive crisis | Acute pulmonary edema | Cerebrovascular accident | Ischemic heart disease | Malignant hypertension,checkbox,No,no,PIH:14921,CIEL:161644|CIEL:121856|CIEL:111103|CIEL:116608|CIEL:116116,Hospitalization discharge diagnosis,PIH:HOSPITALIZATION CONSTRUCT
Hypertension medications,Coded,Amlodipine besylate | Hydrochlorothiazide | Bisoprolol fumarate | Atenolol | ACE inhibitors | Furosemide | Acetylsalicylic acid,checkbox,No,no,PIH:6770,CIEL:71138|CIEL:77696|CIEL:72248|CIEL:71652|CIEL:162298|CIEL:76734|CIEL:71617,Hypertension medications,PIH:HOSPITALIZATION CONSTRUCT
Echo performed,Coded,Echo performed,checkbox,No,no,CIEL:1651,CIEL:159567,,PIH:HOSPITALIZATION CONSTRUCT
Hospitalization discharge diagnosis,Coded,Acute heart failure,checkbox,No,no,PIH:14921,CIEL:149751,Hospitalization discharge diagnosis,PIH:HOSPITALIZATION CONSTRUCT
Heart failure medication,Coded,Bisoprolol fumarate | Atenolol | ACE inhibitors | Spironolactone 25mg | Spironolactone 100mg | Furosemide | Hydrochlorothiazide | Prophylactic antibiotic | Enoxaparin | Warfarin sodium | Sildenafil,checkbox,No,no,PIH:3429,CIEL:72248|CIEL:71652|CIEL:162298|PIH:14965|PIH:14966|CIEL:76734|CIEL:77696|CIEL:151331|CIEL:75687|CIEL:86417|CIEL:83902,Heart failure medication,PIH:HOSPITALIZATION CONSTRUCT
Screening tool during hospitalization,Coded,+ | - | not done,radio,No,no,PIH:14602,CIEL:703|CIEL:664|CIEL:1118,,PIH:HOSPITALIZATION CONSTRUCT
Screening tool during hospitalization,Coded,Acute exacerbation of COPD | Asthma exacerbation | Respiratory insufficiency,checkbox,No,no,PIH:14921,CIEL:166093|CIEL:4|CIEL:113311,Screening tool during hospitalization,PIH:HOSPITALIZATION CONSTRUCT
Screening tool during hospitalization,Coded,Ipratoprium bromide | Salbutamol | Prednisolone | Antibiotics,checkbox,No,no,PIH:6745,CIEL:78200|CIEL:798|CIEL:82446|CIEL:1195,Screening tool during hospitalization,PIH:HOSPITALIZATION CONSTRUCT
Hospitalization discharge diagnosis,Coded,Decompensated nephrotic syndrome | Acute renal failure | Acute on chronic renal failure | Uraemic encephalopathy | Severe anemia,checkbox,No,no,PIH:14921,PIH:14958|CIEL:121849|CIEL:154967|CIEL:123549|CIEL:162044,Hospitalization discharge diagnosis,PIH:HOSPITALIZATION CONSTRUCT
Kidney medications,Coded,Ferrous sulfate | Prednisolone | Calcium carbonate | Furosemide | Spironolactone | Amlodipine besylate | Hydrochlorothiazide | ACE inhibitors,checkbox,No,no,PIH:14967,CIEL:76342|CIEL:82446|CIEL:72660|CIEL:76734|CIEL:84239|CIEL:71138|CIEL:77696|CIEL:162298,Kidney medications,PIH:HOSPITALIZATION CONSTRUCT
Creatinine at discharge,Coded,N/A,radio,No,no,CIEL:790,,,PIH:HOSPITALIZATION CONSTRUCT
Hospitalization discharge diagnosis,Coded,Spontaneous bacterial peritonitis | Hepatic encephalopathy | Cirrhosis of liver with ascites | Liver failure | Ascites | Jaundice | Gastrointestinal hemorrhage,checkbox,No,no,PIH:14921,CIEL:113808|CIEL:138834|PIH:14956|CIEL:117598|CIEL:148346|CIEL:136443|CIEL:139582,Hospitalization discharge diagnosis,PIH:HOSPITALIZATION CONSTRUCT
Liver medications,Coded,Tenofovir | Furosemide | Spironolactone | Propranolol hydrochloride | Lactulose,checkbox,No,no,PIH:14963,CIEL:84795|CIEL:76734|CIEL:84239|CIEL:82734|CIEL:78632,Liver medications,PIH:HOSPITALIZATION CONSTRUCT
Hospitalization discharge diagnosis,Coded,Anemia | Sickle-cell vaso-occlusive pain crisis | Bone pain | Acute chest syndrome | Cerebrovascular accident | Systemic infection | Malaria,checkbox,No,no,PIH:14921,CIEL:121629|CIEL:117643|CIEL:147059|CIEL:149871|CIEL:111103|CIEL:112483|CIEL:116128,Hospitalization discharge diagnosis,PIH:HOSPITALIZATION CONSTRUCT
Liver medications,Coded,Hydroxycarbamide | Folic acid | Prophylactic antibiotic | Malarial prophylaxis | Paracetamol | Ibuprofen | Tramadol hydrochloride | Morphine,checkbox,No,no,PIH:14963,CIEL:77795|CIEL:76613|CIEL:151331|CIEL:159610|CIEL:70116|CIEL:77897|CIEL:85276|CIEL:80106,Liver medications,PIH:HOSPITALIZATION CONSTRUCT
Hospitalization discharge diagnosis,Coded,Uncontrolled cancer pain | Vomiting | Constipation | Opioid intoxication,checkbox,No,no,PIH:14921,PIH:14959|CIEL:122983|CIEL:996|CIEL:131781,Hospitalization discharge diagnosis,PIH:HOSPITALIZATION CONSTRUCT
Palliative treatment at discharge,Coded,Morphine | Tramadol hydrochloride | Lactulose | Metoclopramide hydrochloride,checkbox,No,no,PIH:14774,CIEL:80106|CIEL:85276|CIEL:78632|CIEL:79757,Palliative treatment at discharge,PIH:HOSPITALIZATION CONSTRUCT
Other diagnoses at discharge,Coded,N/A,radio,No,no,PIH:14922,,,PIH:HOSPITALIZATION CONSTRUCT
Other diagnoses at discharge,Coded,N/A,radio,No,no,PIH:14715,,,PIH:HOSPITALIZATION CONSTRUCT
Outcome of hospitalization,Coded,Discharge | Referral,radio,No,no,PIH:15159,PIH:7384|PIH:11521,,PIH:HOSPITALIZATION CONSTRUCT
