Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Urine protein,Coded,3+ | 2+ | 1+ | Trace | Trace (alt) | Negative,radio,No,no,CIEL:1875,CIEL:1365|CIEL:1364|CIEL:1363|CIEL:1362|CIEL:159416|CIEL:664,,
Urine hCG,Coded,Positive | Negative | Not tested,radio,No,no,CIEL:45,CIEL:703|CIEL:664|CIEL:1138,,
Radiology,Coded,Ultrasound,checkbox,No,Ultrasound → show #us-findings,PIH:9350,PIH:Ultrasound,,
Ultrasound findings,Text,N/A,textarea,No,no,PIH:7018,,,
FeFol (Ferrous sulfate + Folic acid),Coded,Yes | No,radio,No,no,CIEL:164166,CIEL:1065|CIEL:1066,,
IPTp-SP (for malaria),Coded,Yes | No,radio,No,no,CIEL:1591,CIEL:1065|CIEL:1066,,
Nutrition counselling,Coded,Yes | No,radio,No,no,CIEL:1380,CIEL:1065|CIEL:1066,,
Other complaints,Text,N/A,textarea,No,no,PIH:6760,,,
Diagnoses (encounterDiagnosesByObs),Other,Pick diagnoses,diagnoses widget,No,no,,,,
Free Text Comments,Text,N/A,textarea,No,no,PIH:CLINICAL IMPRESSION COMMENTS,,,
Habits smoking,Coded,In the past | Currently | Never | Unknown,radio,No,no,PIH:HISTORY OF TOBACCO USE,PIH:IN THE PAST|PIH:CURRENTLY|PIH:NEVER|PIH:unknown,,
Habits alcohol,Coded,In the past | Currently | Never | Unknown,radio,No,no,PIH:HISTORY OF ALCOHOL USE,PIH:IN THE PAST|PIH:CURRENTLY|PIH:NEVER|PIH:unknown,,
Habits drinks Per Day,Coded,N/A,radio,No,no,PIH:ALCOHOLIC DRINKS PER DAY,,,
Habits drugs,Coded,In the past | Currently | Never | Unknown,radio,No,no,CIEL:162556,PIH:IN THE PAST|PIH:CURRENTLY|PIH:NEVER|PIH:unknown,,
Habits drug Name,Coded,N/A,radio,No,no,PIH:6489,,,
Subform: drug-order-widget.xml,Other,Subform — configuration/pih/subforms/drug-order-widget.xml,subform,No,no,,,,
Remarks,Coded,N/A,radio,No,no,PIH:10637,,,
Received LLIN (Long-lasting insecticide net),Coded,Yes | No,radio,No,no,CIEL:159855,CIEL:1065|CIEL:1066,,
Albendazole (deworming),Coded,Yes | No,radio,No,no,CIEL:159922,CIEL:1065|CIEL:1066,,
Family planning counselling,Coded,Yes | No,radio,No,no,CIEL:1382,CIEL:1065|CIEL:1066,,
Counselled for HIV testing,Coded,Yes | No,radio,No,no,PIH:11381,CIEL:1065|CIEL:1066,,
Counselled for danger signs,Coded,Yes | No,radio,No,no,CIEL:161050,CIEL:1065|CIEL:1066,,
Currently staying at birth waiting home,Coded,Wellbody,checkbox,No,no,PIH:20930,PIH:12366,,
Disposition,Other,Disposition widget,disposition widget,Yes,no,,,,
Return Visit Date,Date,N/A,date,No,no,PIH:RETURN VISIT DATE,,,
